SPECIES,LATITUDE,LONGITUDE
"Myotis nattereri (Kuhl 1817)",48.95,5.64
"Myotis nattereri (Kuhl 1817)",48.86,5.64
"Myotis nattereri (Kuhl 1817)",48.75,5.99
"Myotis nattereri (Kuhl 1817)",48.9,6.06
"Myotis nattereri (Kuhl 1817)",48.69,5.88
"Myotis nattereri (Kuhl 1817)",48.89,6.23
"Myotis nattereri (Kuhl 1817)",48.64,5.94
"Myotis nattereri (Kuhl 1817)",48.7,5.96
"Myotis nattereri (Kuhl 1817)",48.84,6.0
"Myotis nattereri (Kuhl 1817)",48.93,4.48
"Myotis nattereri (Kuhl 1817)",48.47,6.18
"Myotis nattereri (Kuhl 1817)",48.95,5.84
"Myotis nattereri (Kuhl 1817)",48.85,5.79
"Myotis nattereri (Kuhl 1817)",49.58,6.33
"Myotis nattereri (Kuhl 1817)",41.34766,-7.278188
"Myotis nattereri (Kuhl 1817)",41.412559,-7.136914
"Myotis nattereri (Kuhl 1817)",41.356586,-7.248794
"Myotis nattereri (Kuhl 1817)",41.395761,-7.1147149999999995
"Myotis nattereri (Kuhl 1817)",41.444303000000005,-7.128316000000001
"Myotis nattereri (Kuhl 1817)",41.308484,-7.585899
"Myotis nattereri (Kuhl 1817)",41.2883,-7.586533
"Myotis nattereri (Kuhl 1817)",41.308386,-7.586175
"Myotis nattereri (Kuhl 1817)",41.287321,-7.587115
"Myotis nattereri (Kuhl 1817)",41.288098,-7.581844
"Myotis nattereri (Kuhl 1817)",41.30255,-7.574558000000001
"Myotis nattereri (Kuhl 1817)",41.305293,-7.5757639999999995
"Myotis nattereri (Kuhl 1817)",41.307589,-7.587077000000001
"Myotis nattereri (Kuhl 1817)",41.307017,-7.587858
"Myotis nattereri (Kuhl 1817)",41.282413,-7.391769999999999
"Myotis nattereri (Kuhl 1817)",41.281613,-7.392075
"Myotis nattereri (Kuhl 1817)",41.281587,-7.392161
"Myotis nattereri (Kuhl 1817)",41.462142,-7.287855
"Myotis nattereri (Kuhl 1817)",41.33623,-7.336447
"Myotis nattereri (Kuhl 1817)",41.338007,-7.316367999999999
"Myotis nattereri (Kuhl 1817)",41.336914,-7.326058
"Myotis nattereri (Kuhl 1817)",41.287812,-7.391336
"Myotis nattereri (Kuhl 1817)",41.327384,-7.359728
"Myotis nattereri (Kuhl 1817)",41.327525,-7.36872
"Myotis nattereri (Kuhl 1817)",41.242292,-7.391901
